CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND
76458645010538,52897435010538,2001,23,3,1418,1,150,3.0,2001,1,17.2,17.2,97.0,4,7,3,7,15,N,2,2.3725625,23.335309998,12.157696508958,0.34088541666666666,23.75835,23.75835,23.75835,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,56.368170271875,56.368170271875,56.368170271875,554.4084622909833,554.4084622909833,554.4084622909833,288.8468088536023,288.8468088536023,288.8468088536023
76458655010538,52897435010538,2001,23,3,1418,4,150,1.0,2001,1,6.2,6.2,97.0,2,3,3,4,8,N,1,0.5454166666666667,10.80443364,5.62910992644,0.23861979166666666,44.54690625,44.54690625,44.54690625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,481.30409244542625,481.30409244542625,481.30409244542625,250.75943216406708,250.75943216406708,250.75943216406708
76458646010538,52897435010538,2001,23,3,1418,1,270,1.0,2001,1,10.9,10.9,94.0,2,4,4,4,3,N,2,0.2618,5.1861281472,2.7019727646912,0.27270833333333333,118.79175,118.79175,118.79175,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,31.09968015,31.09968015,31.09968015,616.0692383301456,616.0692383301456,616.0692383301456,320.97207317000584,320.97207317000584,320.97207317000584
76458647010538,52897435010538,2001,23,3,1418,1,270,2.0,2001,1,17.0,17.0,94.0,4,5,5,6,10,N,2,1.6635208333333333,16.361539194,8.524361920074,0.37497395833333336,35.637525,35.637525,35.637525,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,59.2837652859375,59.2837652859375,59.2837652859375,583.0847620646548,583.0847620646548,583.0847620646548,303.7871610356852,303.7871610356852,303.7871610356852
76458648010538,52897435010538,2001,23,3,1418,1,270,3.0,2001,1,20.5,20.5,94.0,2,6,5,6,16,N,2,2.6616333333333335,52.7256361632,27.4700564410272,0.37497395833333336,22.273453125,22.273453125,22.273453125,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,59.2837652859375,59.2837652859375,59.2837652859375,1174.38198556684,1174.38198556684,1174.38198556684,611.8530144803236,611.8530144803236,611.8530144803236
76458657010538,52897435010538,2001,23,3,1418,4,270,1.0,2001,1,2.8,2.8,97.0,4,8,6,8,20,N,2,5.454166666666667,53.6443908,27.9487276068,0.47723958333333333,17.8187625,17.8187625,17.8187625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,97.18650046875,97.18650046875,97.18650046875,955.876659122385,955.876659122385,955.876659122385,498.0117394027626,498.0117394027626,498.0117394027626
76458658010538,52897435010538,2001,23,3,1418,4,270,2.0,2001,1,5.5,5.5,97.0,2,6,5,7,20,N,2,4.036083333333333,79.952808936,41.655413455656,0.4090625,17.8187625,17.8187625,17.8187625,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,71.918010346875,71.918010346875,71.918010346875,1424.6601136384618,1424.6601136384618,1424.6601136384618,742.2479192056386,742.2479192056386,742.2479192056386
76458449010538,52865942010538,2001,23,3,1878,2,30,1.0,2001,1,3.8,3.8,,5,5,,,6,,,0.818125,11.1495384,5.6416664304,0.34088541666666666,59.395875,59.395875,59.395875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,48.593250234375,48.593250234375,48.593250234375,662.2365891141,662.2365891141,662.2365891141,335.0917140917346,335.0917140917346,335.0917140917346
76458450010538,52865942010538,2001,23,3,1878,2,30,2.0,2001,1,7.9,7.9,,5,6,,,6,,,1.1781,16.055335296,8.123999659776,0.4090625,59.395875,59.395875,59.395875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,69.9742803375,69.9742803375,69.9742803375,953.620688324304,953.620688324304,953.620688324304,482.53206829209785,482.53206829209785,482.53206829209785
76458451010538,52865942010538,2001,23,3,1878,2,30,3.0,2001,1,8.4,8.4,97.0,2,7,7,9,28,N,1,9.926583333333333,196.640692248,102.449800661208,0.5454166666666667,12.7276875,12.7276875,12.7276875,,,,,,,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,2022-04-18 09:41:26,290487,9,,,,,,126.342450609375,126.342450609375,126.342450609375,2502.7812807162163,2502.7812807162163,2502.7812807162163,1303.9490472531488,1303.9490472531488,1303.9490472531488
