CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICR_SAMPLE_METHOD
76441234010538,52865805010538,2001,23,3,958,4,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441225010538,52898510010538,2001,23,3,1392,1,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441224010538,52898510010538,2001,23,3,1392,2,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441223010538,52898510010538,2001,23,3,1392,3,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441222010538,52898510010538,2001,23,3,1392,4,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441260010538,52897435010538,2001,23,3,1418,1,2001,1,0,1,0,99.0,0.1,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441259010538,52897435010538,2001,23,3,1418,2,2001,1,0,10,0,99.0,0.1,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441258010538,52897435010538,2001,23,3,1418,3,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441257010538,52897435010538,2001,23,3,1418,4,2001,0,0,1,0,99.0,0.0,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441233010538,52865942010538,2001,23,3,1878,1,2001,10,0,20,0,90.0,0.5,0.0,1.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441232010538,52865942010538,2001,23,3,1878,2,2001,1,0,10,0,99.0,0.5,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441231010538,52865942010538,2001,23,3,1878,3,2001,10,0,20,0,99.0,2.1,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441230010538,52865942010538,2001,23,3,1878,4,2001,50,0,10,0,99.0,3.5,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441186010538,52866238010538,2001,23,3,1943,1,2001,10,0,90,0,50.0,4.0,0.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441185010538,52866238010538,2001,23,3,1943,2,2001,99,10,99,0,40.0,1.4,1.0,1.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441184010538,52866238010538,2001,23,3,1943,3,2001,0,0,80,0,50.0,0.0,0.0,1.2,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441183010538,52866238010538,2001,23,3,1943,4,2001,1,0,10,0,90.0,1.2,0.0,0.5,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441205010538,52872968010538,2001,23,7,1008,1,2001,0,0,99,0,10.0,0.0,0.0,0.3,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441204010538,52872968010538,2001,23,7,1008,2,2001,1,0,20,0,60.0,0.1,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441203010538,52872968010538,2001,23,7,1008,3,2001,0,0,20,0,90.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441202010538,52872968010538,2001,23,7,1008,4,2001,20,0,30,0,99.0,0.3,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441162010538,52872861010538,2001,23,7,1144,1,2001,10,0,40,0,90.0,0.3,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441161010538,52872861010538,2001,23,7,1144,2,2001,0,0,30,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441160010538,52872861010538,2001,23,7,1144,3,2001,0,0,80,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441159010538,52872861010538,2001,23,7,1144,4,2001,0,0,70,0,80.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441158010538,52869464010538,2001,23,7,1942,1,2001,0,0,10,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441157010538,52869464010538,2001,23,7,1942,2,2001,0,0,10,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441156010538,52869464010538,2001,23,7,1942,3,2001,0,0,40,0,80.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441155010538,52869464010538,2001,23,7,1942,4,2001,1,0,1,0,90.0,0.1,0.0,0.1,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441118010538,52877779010538,2001,23,9,1569,1,2001,1,0,1,0,99.0,0.5,0.0,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441117010538,52877779010538,2001,23,9,1569,2,2001,20,0,20,0,70.0,4.9,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441116010538,52877779010538,2001,23,9,1569,3,2001,10,0,1,0,90.0,1.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441115010538,52877779010538,2001,23,9,1569,4,2001,10,0,10,1,99.0,1.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441122010538,52875595010538,2001,23,9,1720,1,2001,1,0,10,0,99.0,1.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:18,489998,1
76441121010538,52875595010538,2001,23,9,1720,2,2001,10,0,1,0,99.0,2.2,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441120010538,52875595010538,2001,23,9,1720,3,2001,0,0,10,0,99.0,0.0,0.0,1.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441119010538,52875595010538,2001,23,9,1720,4,2001,0,0,10,0,99.0,0.0,0.0,1.6,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441126010538,52877916010538,2001,23,9,1769,1,2001,0,0,30,0,10.0,0.0,0.0,3.6,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441125010538,52877916010538,2001,23,9,1769,2,2001,10,0,20,0,90.0,3.2,0.0,2.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441124010538,52877916010538,2001,23,9,1769,3,2001,0,0,50,0,30.0,0.0,0.0,3.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:18,489998,1
76441123010538,52877916010538,2001,23,9,1769,4,2001,0,0,50,1,30.0,0.0,0.0,2.9,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441145010538,52878929010538,2001,23,11,1443,1,2001,1,0,99,0,99.0,4.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441144010538,52878929010538,2001,23,11,1443,2,2001,20,0,99,0,99.0,17.0,0.0,5.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441143010538,52878929010538,2001,23,11,1443,4,2001,10,0,90,1,99.0,7.0,0.0,5.0,3.5,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:18,489998,1
76441138010538,52880780010538,2001,23,13,526,1,2001,0,0,20,0,40.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441137010538,52880780010538,2001,23,13,526,2,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441136010538,52880780010538,2001,23,13,526,3,2001,0,0,1,0,99.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441135010538,52880780010538,2001,23,13,526,4,2001,0,0,20,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441134010538,52882011010538,2001,23,15,1901,1,2001,30,0,20,0,90.0,2.0,0.0,2.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441133010538,52882011010538,2001,23,15,1901,2,2001,50,0,50,0,90.0,0.3,0.0,3.8,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441132010538,52882011010538,2001,23,15,1901,3,2001,0,0,10,0,90.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441131010538,52882011010538,2001,23,15,1901,4,2001,40,0,50,0,70.0,3.0,0.0,4.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441154010538,52886981010538,2001,23,17,731,1,2001,10,0,40,0,80.0,0.2,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441153010538,52886981010538,2001,23,17,731,2,2001,30,0,50,0,80.0,0.3,0.0,1.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441152010538,52886981010538,2001,23,17,731,3,2001,0,0,40,0,90.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441151010538,52886981010538,2001,23,17,731,4,2001,0,0,30,0,80.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441166010538,52887146010538,2001,23,17,1630,1,2001,1,0,80,0,90.0,0.2,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441165010538,52887146010538,2001,23,17,1630,2,2001,0,0,50,0,90.0,0.0,0.0,0.6,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441164010538,52887146010538,2001,23,17,1630,3,2001,0,0,10,0,50.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
