CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_IN_INSTANCE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
76461093010538,52866384010538,2001,23,3,67,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461092010538,52866384010538,2001,23,3,67,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461094010538,52866384010538,2001,23,3,67,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461095010538,52866384010538,2001,23,3,67,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461160010538,52863327010538,2001,23,3,647,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461161010538,52863327010538,2001,23,3,647,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461163010538,52863327010538,2001,23,3,647,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461162010538,52863327010538,2001,23,3,647,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461165010538,52863327010538,2001,23,3,647,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461164010538,52863327010538,2001,23,3,647,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
