CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
76438941010538,52875595010538,2001,23,9,1720,150,2,1,2001,38,10,8,0,0,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,40.06947933706002,40.06947933706002,40.06947933706002,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438940010538,52875595010538,2001,23,9,1720,150,3,1,2001,38,5,5,0,0,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,40.06947933706002,40.06947933706002,40.06947933706002,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438939010538,52875595010538,2001,23,9,1720,150,4,1,2001,6,4,1,0,0,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,39.95037190209989,40.06947933706002,40.06947933706002,40.06947933706002,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438946010538,52877916010538,2001,23,9,1769,150,1,1,2001,41,2,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438945010538,52877916010538,2001,23,9,1769,150,2,1,2001,16,13,7,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438944010538,52877916010538,2001,23,9,1769,150,3,1,2001,31,0,1,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438943010538,52877916010538,2001,23,9,1769,150,4,1,2001,21,5,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:27,290487,,,1,
76438965010538,52878929010538,2001,23,11,1443,150,1,1,2001,8,2,6,0,0,20.0,40.0,40.0,20.0,40.0,40.0,20.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438964010538,52878929010538,2001,23,11,1443,150,2,2,2001,0,0,0,0,0,10.0,40.0,40.0,10.0,40.0,40.0,10.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438963010538,52878929010538,2001,23,11,1443,150,4,1,2001,3,1,3,0,0,20.0,40.0,40.0,20.0,40.0,40.0,20.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438958010538,52880780010538,2001,23,13,526,150,1,1,2001,6,2,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438957010538,52880780010538,2001,23,13,526,150,2,1,2001,78,3,4,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438956010538,52880780010538,2001,23,13,526,150,3,1,2001,47,5,1,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438955010538,52880780010538,2001,23,13,526,150,4,1,2001,112,5,2,4,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438954010538,52882011010538,2001,23,15,1901,150,1,1,2001,41,7,11,0,0,29.975046777556894,39.92541867965679,39.92541867965679,29.975046777556894,39.92541867965679,39.92541867965679,30.034934511420463,40.104413848480476,40.104413848480476,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438953010538,52882011010538,2001,23,15,1901,150,2,1,2001,24,2,1,0,0,29.975046777556894,39.92541867965679,39.92541867965679,29.975046777556894,39.92541867965679,39.92541867965679,30.034934511420463,40.104413848480476,40.104413848480476,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438952010538,52882011010538,2001,23,15,1901,150,3,2,2001,45,7,4,0,0,9.950371902099892,39.92541867965679,39.92541867965679,9.950371902099892,39.92541867965679,39.92541867965679,10.069479337060017,40.104413848480476,40.104413848480476,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438951010538,52882011010538,2001,23,15,1901,150,4,1,2001,60,24,11,0,0,29.975046777556894,39.92541867965679,39.92541867965679,29.975046777556894,39.92541867965679,39.92541867965679,30.034934511420463,40.104413848480476,40.104413848480476,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438974010538,52886981010538,2001,23,17,731,150,1,1,2001,26,3,2,0,0,30.0,40.0,40.0,30.0,40.0,40.0,30.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:28,290487,,,1,
