CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
76432537010538,52863327010538,2001,23,3,647,150,1,2,2001,1,6.5,0.7,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432541010538,52863327010538,2001,23,3,647,150,2,2,2001,1,0.6,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432545010538,52863327010538,2001,23,3,647,150,3,2,2001,1,3.2,0.4,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432549010538,52863327010538,2001,23,3,647,150,4,2,2001,1,2.9,0.7,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432539010538,52863327010538,2001,23,3,647,270,1,2,2001,1,2.2,0.2,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432551010538,52863327010538,2001,23,3,647,270,4,2,2001,1,0.5,0.7,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432451010538,52866435010538,2001,23,3,941,30,2,2,2001,1,7.1,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432455010538,52866435010538,2001,23,3,941,30,3,2,2001,1,17.8,0.2,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432445010538,52866435010538,2001,23,3,941,150,1,2,2001,1,9.5,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432449010538,52866435010538,2001,23,3,941,150,2,2,2001,1,7.1,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432453010538,52866435010538,2001,23,3,941,150,3,2,2001,1,4.8,0.0,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432457010538,52866435010538,2001,23,3,941,150,4,2,2001,1,23.8,0.2,2.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432447010538,52866435010538,2001,23,3,941,270,1,2,2001,1,14.3,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432459010538,52866435010538,2001,23,3,941,270,4,2,2001,1,3.6,0.0,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432483010538,52865805010538,2001,23,3,958,30,2,2,2001,1,0.2,2.2,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432487010538,52865805010538,2001,23,3,958,30,3,2,2001,1,0.2,2.2,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432477010538,52865805010538,2001,23,3,958,150,1,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
